company_name,job_title,location,page_number,posted_time,search_keyword,technologies,years_of_experience
Dynamicslink,"Talent Acquisition Specialist – IT, Software Sector",Nasr City,1,,software,"·, Human Resources (HR), Recruitment, Talent acquisition, IT, Recruiter, English",
softprograms,Software Sales Account Manager,Nasr City,1,,software,"·, Communication skills, Sales Planning, Technical Presentations, Contract Negotiation, CRM, Sales Skills, Business Administration",
Rashideen Egypt for Trade ,Software developer,Katameya,1,,software,"·, API, CSS, Engineering, HTML, Web API",
Gila Electric,Senior Software Developer,Cairo,1,,software,"·, Design, Engineering, Agile, Computer Science, Git, Information Technology (IT), Python",
Link Development,Software Engineering Lead – Dynamics 365 CRM and Power Platform,Maadi,1,,software,"·, Microsoft Dynamics CRM, Dynamics 365, MS Dynamics 365, Microsoft Power BI, .Net, CRM, English",
Lumin,Commercial Director - Experience in Software,Sheikh Zayed,1,,software,"·, Sales, IT, Business Development, Commercial Sales, Commercial",
Roaya,Sales Software Account Manager,Maadi,1,,software,"·, Computer Science, Customer Service, Engineering, Sales, Sales Target, IT, sales skills",
Bright Creations,Software Tester - Quality Control,Smart Village,1,,software,"·, Computer Science, Information Technology (IT), Testing Applications, JIRA, TestLink, TestDirector",
BDO Esnad,Software Developer,Maadi,1,,software,"·, Reporting",
Bevatel,Senior Software Sales Specialist,Dokki,1,8 days,software,"·, CRM, sales skills, Negotiation, negotiation skills, Information Technology (IT), IT, Sales",
Itechs Group,Software Engineer (Frontend),Nasr City,1,,software,"·, CSS3, Git, HTML5, JavaScript, Redux, RESTful, Information Technology (IT)",
Softec Technologies,Software Application Support Engineer,Maadi,1,9 days,software,"·, Engineering, Technical Support, Information Technology (IT), Computer Science, Troubleshooting, Networking, English",
Itechs Group,Software Engineer (Backend),Nasr City,1,,software,"·, MySQL, MongoDB, JavaScript, PostgreSQL, presentation skills, communication skills",
Quanvex,Software Sales Rep,Sheikh Zayed,1,10 days,software,"·, sales skills, CRM, Information Technology (IT), IT, Sales",
Lecico Egypt,BI software adminstrator,Alexandria,1,,software,"·, BI, Computer Science, Data Science, Information Technology (IT)",
Bright Creations,DAZU - Python Developer (FinTech),Smart Village,1,,python,"·, Django, Flask, Web Scraping, WWeb Scraping, CI, Computer Science",
Softxpert Incorporation ,Senior Python Developer,Bolkly,1,22 days,python,"·, APIs, Angular, Software Development, Software Engineering, Web Development, MySQL",
Softec Technologies,Python Team Lead - AI & Python Engineering,Cairo,1,23 days,python,"·, API, AWS, Communication skills, Computer Science, Development, Docker, Engineering",
Luxoft (A DXC Technology Company),Python Automation Engineer,Cairo,1,2 months,python,"·, API, Computer Science, Information Technology (IT), JIRA, Selenium, Software Development, Testing",
Luxoft (A DXC Technology Company),Senior Python Automation Engineer,Cairo,1,2 months,python,"·, ALM, API, API Testing, Information Technology (IT), Git, Computer Science, Development, JIRA",
Gila Electric,Senior Software Developer,Cairo,1,,python,"·, Design, Software Development, Engineering, Agile, Computer Science, Git, Information Technology (IT)",
WUZZUF,Data Analysis Manager,Maadi,1,9 days,python,"·, Analysis, business, Computer Engineering, Computer Science, Data Analysis, Engineering, Microsoft Excel",
Code SA Ltd,Senior Software Engineer,Cambridge,1,10 days,python,"·, APIs, Docker, React.js, Flask, FastAPI, Django, Software Development",
Creative Motion,Odoo Developer,Maadi,1,,python,"·, CSS, Odoo Development, Information Technology (IT), Computer Science, Communication skills, Development, Engineering",
HYVE Technology Consulting ,Tech Lead Data Engineering,Nasr City,1,,python,"·, Computer Engineering, Data, Data Analysis, ETL, Hadoop, Relational Databases, SQL, IBM DataStage",
HYVE Technology Consulting ,Data Engineer,Cairo,1,,python,"·, Computer Engineering, Computer Science, Data Mining, Data, Database, Engineering, Ibm, Information Technology (IT)",
HYVE Technology Consulting ,Data Scientist,Cairo,1,,python,"·, Computer Science, Data, Data Science, data scientist, Engineering, Hadoop, Information Technology (IT), Java",
Pure Group ,AI Engineer,Cairo,1,,python,"·, AI, LMS, FFT, Engineering, Frameworks, PyTorch, TensorFlow, NLP",
Alshaya,Senior Manager - Data Analytics,Nasr City,1,,python,"·, Data Analytics, CRM, Quantitative Research, Commercial Analysis, Performance Measurement, Loyalty Programme, Performance Analytics, Loyalty Programme Analytics",
DARKNESSIA,Odoo Developer,6th of October,1,,python,"·, Computer Science, Development, Odoo, Programming, Information Technology (IT), Odoo Development",
Bright Creations,Backend Developer (Laravel),Smart Village,1,,backend,"·, Engineering, APIs, Laravel, PHP, Full Stack Development, Computer Science, Information Technology (IT)",
bluworks ,Senior Backend Developer,Maadi,1,,backend,"·, Software Development, Software Engineering",
Devency  ,Backend Engineer,Nozha,1,12 days,backend,"·, Software Development, Engineering, Typescript, Node.js, NoSQL, SQL, Software Engineering",
Itechs Group,Software Engineer (Backend),Nasr City,1,,backend,"·, MySQL, MongoDB, JavaScript, PostgreSQL, Software Engineering, Software Development, presentation skills, communication skills",
WUZZUF,Backend Developer,Maadi,1,9 days,backend,"·, Computer Science, developer, Information Technology (IT), Software Development, senior, Software Engineering",
Spark Systems,Back-end .NET Core Developer,Sheikh Zayed,1,17 days,backend,"·, .Net, .net core, ASP, ASP.Net, Information Technology (IT), Software Development, Computer Science, Software Engineering",
brmja tech,Backend Developer,Faisal,1,15 days,backend,"·, Laravel, PHP, Mysql Database, Computer Programs, Computer Science, Information Technology (IT), Microsoft Programs, SQL",
Monglish Academy,Backend Developer,Alexandria,1,16 days,backend,"·, Computer Science, Information Technology (IT), Engineering, Software",
CompactSoft International ,Software Developer .NET (Backoffice / Backend),Nasr City,1,8 days,backend,"·, ASP.Net, Computer Engineering, Engineering, .Net, Information Technology (IT), Software Development, SQL, Web Development",
TXG.,Senior Backend Developer (Node.js),Cairo,1,19 days,backend,"·, API, CI/CD, Github, PostgreSQL, REST, Fastify, Node.js, Typescript",
HiRemoters,Spring Boot BackEnd Developer /Freelancer OR Full Time,Cairo,1,11 days,backend,"·, Computer Engineering, Computer Science, Java, MongoDB, Spring, API",
E-Jawdah,Back-end Team Lead,Nasr City,1,18 days,backend,"·, PHP, RESTful APIs., Git, HTML, JavaScript, CSS, Ruby",
Confidential,Backend Team Lead,Smouha,1,21 days,backend,"·, Communication skills, Scrum, Java, Spring Boot, Microservices Architecture",
ISTQSERVERS ,Senior Backend Developer,Maadi,1,14 days,backend,"·, PHP, Node.js, Linux, MySQL",
TXG ,Mid - Senior Backend Developer (Node.js),Cairo,1,18 days,backend,"·, Git, TypeScript, API, PostgreSQL, Github, CI/CD, Node.js, Fastify, REST",
Devency  ,Frontend Engineer,Nozha,1,,frontend,"·, Software Development, Engineering, React, React.js, UI, Typescript, Agile",
Bright Creations,DAZU - React Frontend Developer,Smart Village,1,,frontend,"·, Sass, JavaScript, CSS, UI, HTML5, Software Development, Vue.js",
Link Development,Senior Front-End Engineer / Angular,Maadi,1,,frontend,"·, Angular, Computer Science, Git, HTML5, Information Technology (IT), JavaScript, jQuery",
Aria Systems,Senior Front-End Developer (Angular ),Maadi,1,12 days,frontend,"·, Information Technology (IT), Telecommunication, Computer Science, .NET, .NET Development, Angular, CSS, HTML5",
Charisma Design,Frontend,Nasr City,1,,frontend,"·, HTML5, CSS3, JavaScript, Vue.js, nuxstjs",
34ML,Vue.Js Frontend Developer,Heliopolis,1,11 days,frontend,"·, Software Development, Information Technology (IT), REST, Mobile Development, Objective-C, Software Design, UI",
Itechs Group,Software Engineer (Frontend),Nasr City,1,,frontend,"·, CSS3, Git, HTML5, JavaScript, Redux, RESTful, Information Technology (IT), Software Engineering",
Ultimate Solutions Egypt,Senior Front-End Angular Developer,Victoria,1,19 days,frontend,"·, Angular, APIs, Computer Science, CSS3, Design, Git",
HiRemoters,Angular Front-End Developer - Full Time Or Freelancer,Cairo,1,11 days,frontend,"·, Angular, Computer Engineering, Computer Science, CSS, HTML, JavaScript, MySQL, AngularJS",
