company_name,job_title,location,page_number,posted_time,search_keyword,technologies,years_of_experience
Lumin -,Commercial Director - Experience in Software,"Sheikh Zayed,",0,,software,"·,Sales,·,IT,·,Business Development,·,Commercial Sales,·,Commercial",
Roaya -,Sales Software Account Manager,"Maadi,",0,,software,"·,Computer Science,·,Customer Service,·,Engineering,·,Sales,·,Sales Target,·,IT,·,sales skills",
BDO Esnad -,Software Developer,"Maadi,",0,,software,"·,Reporting",
Bevatel -,Senior Software Sales Specialist,"Dokki,",0,,software,"·,CRM,·,sales skills,·,Negotiation,·,negotiation skills,·,Information Technology (IT),·,IT,·,Sales",
Softec Technologies -,Software Application Support Engineer,"Maadi,",0,,software,"·,Engineering,·,Technical Support,·,Information Technology (IT),·,Computer Science,·,Troubleshooting,·,Networking,·,English",
Quanvex -,Software Sales Rep,"Sheikh Zayed,",0,,software,"·,sales skills,·,CRM,·,Information Technology (IT),·,IT,·,Sales",
Lecico Egypt -,BI software adminstrator,"Alexandria,",0,,software,"·,BI,·,Computer Science,·,Data Science,·,Information Technology (IT)",
Guestna -,Software Development Manager - Remote (Full Time / Part Time),"Riyadh,",0,10 days,software,"·,Computer Science,·,DevOps,·,Development,·,APIs,·,Agile,·,Information Technology (IT)",
CompactSoft International  -,Software Developer .NET (Backoffice / Backend),"Nasr City,",0,,software,"·,ASP.Net,·,Computer Engineering,·,Engineering,·,.Net,·,Information Technology (IT),·,SQL,·,Web Development",
Our Education -,Senior Software Tester,"Nasr City,",0,,software,"·,Computer Science,·,Test Automation,·,Engineering,·,Information Technology (IT),·,Quality Control,·,Selenium,·,Quality",
Code SA Ltd -,Senior Software Engineer,"Cambridge,",0,,software,"·,Python,·,APIs,·,Docker,·,React.js,·,Flask,·,FastAPI,·,Django",
MCBS -,Sales Executive – Software,"Mokattam,",0,11 days,software,"·,Sales,·,B2B Sales,·,Negotiation,·,sales skills,·,Sales Target,·,Communication",
Landmarks consulting solutions CO  -,Software Sales Account Executive – ERP Systems,"Maadi,",0,10 days,software,"·,Customer Support,·,Technical Support,·,ERP System,·,CRM System,·,Business Administration,·,Business Development",
Route ِAcademy -,Software Testing Instructor,"Alexandria,",0,11 days,software,"·,Teaching & Instruction,·,Communication & Presentation Skills,·,Student Support & Feedback",
Tafeel -,Software Engineer,"Riyadh,",0,12 days,software,"·,Quality Assurance,·,Information Technology (IT),·,ISTQB,·,Computer Science,·,Testing",
Softxpert Incorporation  -,Senior Python Developer,"Bolkly,",0,18 days,python,"·,APIs,·,Angular,·,Software Development,·,Software Engineering,·,Web Development,·,MySQL",
Softec Technologies -,Python Team Lead - AI & Python Engineering,"Cairo,",0,19 days,python,"·,API,·,AWS,·,Communication skills,·,Computer Science,·,Development,·,Docker,·,Engineering",
Luxoft (A DXC Technology Company) -,Python Automation Engineer,"Cairo,",0,1 month,python,"·,API,·,Computer Science,·,Information Technology (IT),·,JIRA,·,Selenium,·,Software Development,·,Testing",
Luxoft (A DXC Technology Company) -,Senior Python Automation Engineer,"Cairo,",0,1 month,python,"·,ALM,·,API,·,API Testing,·,Information Technology (IT),·,Git,·,Computer Science,·,Development,·,JIRA",
OTIC -,Python Backend Developer – AI & Chatbots,"New Cairo,",0,2 months,python,"·,Database,·,Computer Science,·,Azure,·,APIs,·,Software Development,·,Oracle,·,Django",
WUZZUF -,Data Analysis Manager,"Maadi,",0,,python,"·,Analysis,·,business,·,Computer Engineering,·,Computer Science,·,Data Analysis,·,Engineering,·,Microsoft Excel",
Code SA Ltd -,Senior Software Engineer,"Cambridge,",0,,python,"·,APIs,·,Docker,·,React.js,·,Flask,·,FastAPI,·,Django,·,Software Development",
أكاديمية ابداع للتدريب والاستشارات (Ibdaa Academy) -,Engineer,"Bourj Alarab,",0,10 days,python,"·,Computer Science,·,Engineering,·,Information Technology (IT),·,Arduino,·,Teaching,·,Development",
Alshaya -,Senior Manager - Data Analytics,"Nasr City,",0,,python,"·,Data Analytics,·,CRM,·,Quantitative Research,·,Commercial Analysis,·,Performance Measurement,·,Loyalty Programme,·,Performance Analytics,·,Loyalty Programme Analytics",
DARKNESSIA -,Odoo Developer,"6th of October,",0,,python,"·,Computer Science,·,Development,·,Odoo,·,Programming,·,Information Technology (IT),·,Odoo Development",
Alfa Software -,Odoo Developer,"Hurghada,",0,,python,"·,Odoo,·,Odoo Development,·,Odoo ERP,·,Computer Science,·,Information Technology (IT)",
softprimes -,Odoo Developer (80% Remote),"Nasr City,",0,,python,"·,HTML5,·,Software Development,·,Full Stack,·,Odoo",
Algoriza -,Senior Devops Engineer,"Giza,",0,,python,"·,Azure,·,AWS,·,Cloud,·,Computer Science,·,DevOps,·,Docker,·,Engineering,·,Information Technology (IT)",
Lumin -,Senior AI Engineer,"Sheikh Zayed,",0,,python,"·,AI,·,Artificial Intelligence,·,Computer Vision,·,Machine Learning,·,TensorFlow,·,Computer Science,·,Programming,·,PyTorch",
Smicolon GmbH -,Senior Full Stack Engineer,"Munich,",0,,python,"·,Full Stack,·,Git,·,Computer Science,·,APIs,·,Information Technology (IT),·,Java,·,JavaScript",
