search_keyword,page_number,job_title,company_name,location,posted_time,years_of_experience,technologies
software,1,Software Tester,Al Ateeq Software -,"New Nozha,",,,"·,Information Technology (IT),·,Quality Control,·,Testing,·,ISTQB,·,Computer Science"
software,1,Software Development Manager - Remote (Full Time / Part Time),Guestna -,"Riyadh,",,,"·,Computer Science,·,DevOps,·,Development,·,APIs,·,Agile,·,Information Technology (IT)"
software,1,Sales Executive – Software,MCBS -,"Mokattam,",,,"·,Sales,·,B2B Sales,·,Negotiation,·,sales skills,·,Sales Target,·,Communication"
software,1,Software Engineer,Tafeel -,"Riyadh,",,,"·,Quality Assurance,·,Information Technology (IT),·,ISTQB,·,Computer Science,·,Testing"
software,1,Sales Software Account Manager,Roaya -,"Maadi,",,,"·,Computer Science,·,Customer Service,·,Engineering,·,Sales,·,Sales Target,·,IT,·,sales skills"
software,1,Software Testing Instructor,Route ِAcademy -,"Alexandria,",,,"·,Teaching & Instruction,·,Communication & Presentation Skills,·,Student Support & Feedback"
software,1,Software Sales Account Executive – ERP Systems,Landmarks consulting solutions CO  -,"Maadi,",,,"·,Customer Support,·,Technical Support,·,ERP System,·,CRM System,·,Business Administration,·,Business Development"
software,1,Procurement specialist ( IT & Software ),Egyptian Company for Cosmetics -,"Nasr City,",,,"·,Procurement,·,Purchasing,·,Negotiation,·,IT procurement"
software,1,Software Quality Control Lead,Tafeel -,"Nasr City,",,,"·,Automation,·,Automation Testing,·,Agile,·,Computer Science,·,Information Technology (IT),·,ISTQB,·,Quality Control"
software,1,Software Tester,Naba Soft  -,"Nasr City,",,,"·,Information Technology (IT),·,Quality Control,·,Tester,·,Computer Science"
software,1,Senior Software Tester,Ultimate Solutions Egypt -,"Sheikh Zayed,",,,"·,Computer Science,·,Information Technology (IT),·,Selenium,·,API"
software,1,Full-stack Software Engineer,Nacita -,"Cairo,",10 days,,"·,full-stack engineer,·,angular,·,Agile,·,Java,·,nodejs,·,Kubernetes,·,Google Cloud"
software,1,Quality Software Engineer,Nacita -,"Giza,",10 days,,"·,Agile,·,Computer Science,·,Engineering,·,Information Technology (IT),·,Programming,·,Java"
software,1,Software Testing Instructor,Amit Learning -,"Maadi,",10 days,,"·,Selenium,·,Automation,·,Java,·,Testing,·,ISTQB,·,JavaScript"
software,1,Software Developer,eVision -,"New Cairo,",10 days,,"·,APIs,·,Computer Science,·,Java,·,RESTful,·,SQL,·,Engineering"
python,1,Senior Python Developer,Softxpert Incorporation  -,"Bolkly,",10 days,,"·,APIs,·,Angular,·,Software Development,·,Software Engineering,·,Web Development,·,MySQL"
python,1,Python Team Lead - AI & Python Engineering,Softec Technologies -,"Cairo,",11 days,,"·,API,·,AWS,·,Communication skills,·,Computer Science,·,Development,·,Docker,·,Engineering"
python,1,Python Automation Engineer,Luxoft (A DXC Technology Company) -,"Cairo,",1 month,,"·,API,·,Computer Science,·,Information Technology (IT),·,JIRA,·,Selenium,·,Software Development,·,Testing"
python,1,Senior Python Automation Engineer,Luxoft (A DXC Technology Company) -,"Cairo,",1 month,,"·,ALM,·,API,·,API Testing,·,Information Technology (IT),·,Git,·,Computer Science,·,Development,·,JIRA"
python,1,Python Backend Developer – AI & Chatbots,OTIC -,"New Cairo,",2 months,,"·,Database,·,Computer Science,·,Azure,·,APIs,·,Software Development,·,Oracle,·,Django"
python,1,Engineer,أكاديمية ابداع للتدريب والاستشارات (Ibdaa Academy) -,"Bourj Alarab,",,,"·,Computer Science,·,Engineering,·,Information Technology (IT),·,Arduino,·,Teaching,·,Development"
python,1,Value-Based Healthcare Analytics Specialist,MEAHCO - Saudi German Health -,"Maadi,",,,"·,SQL,·,SAS,·,Tableau,·,Power BI,·,QlikView,·,Microsoft Excel,·,Microsoft Azure,·,AWS"
python,1,Renewable Energy Engineer,Storlytics  -,"Cairo,",9 days,,"·,English,·,AutoCAD,·,Electrical Engineering,·,Renewable Energy,·,Power,·,PVsyst"
python,1,Data Analyst Manager,WUZZUF -,"Maadi,",11 days,,"·,Analysis,·,business,·,Computer Engineering,·,Computer Science,·,Data Analysis,·,Engineering,·,Microsoft Excel"
python,1,IoT/PCB Lab Specialist - ASSUIT,Cultiv -,"New Assuit,",,,"·,EAGLE,·,Altium,·,Proteus,·,Electrical Engineering,·,C,·,Electronics,·,Embedded Systems,·,Hardware,·,IOT"
python,1,IoT /PCB Lab Specialist - BORG,Cultiv -,"Bourj Alarab,",,,"·,EAGLE,·,Altium,·,Proteus,·,Electrical Engineering,·,Embedded Systems,·,Hardware,·,IOT,·,PCB"
python,1,AI Engineer,Quantanite -,"Maadi,",,,"·,AI,·,Algorithms,·,Computer Science,·,Information Technology (IT),·,Engineering,·,Software"
python,1,Assembly process Engineer,Groupe- Atlantic -,"10th of Ramadan City,",,,"·,Engineering,·,Mechanical Engineering,·,Production,·,Process,·,Manufacturing,·,Process Improvement,·,Six Sigma"
python,1,Frappe & ERPNext Developer,Confidential -,"Riyadh,",14 days,,"·,jQuery,·,JavaScript,·,HTML,·,erpnext,·,CSS,·,Computer Science"
python,1,Data Scientist,HYVE Technology Consulting  -,"Cairo,",10 days,,"·,Computer Science,·,Data,·,Data Science,·,data scientist,·,Engineering,·,Hadoop,·,Information Technology (IT),·,Java"
backend,1,Backend Engineer,Devency   -,"Nozha,",,,"·,Software Development,·,Engineering,·,Typescript,·,Node.js,·,NoSQL,·,SQL,·,Software Engineering"
backend,1,Back-end .NET Core Developer,Spark Systems -,"Sheikh Zayed,",,,"·,.Net,·,.net core,·,ASP,·,ASP.Net,·,Information Technology (IT),·,Software Development,·,Computer Science,·,Software Engineering"
backend,1,Senior Backend Developer (Node.js),TXG. -,"Cairo,",,,"·,API,·,CI/CD,·,Github,·,PostgreSQL,·,REST,·,Fastify,·,Node.js,·,Typescript"
backend,1,Backend Team Lead,Confidential -,"Smouha,",9 days,,"·,Communication skills,·,Scrum,·,Java,·,Spring Boot,·,Microservices Architecture"
backend,1,Backend Developer,Monglish Academy -,"Alexandria,",,,"·,Computer Science,·,Information Technology (IT),·,Engineering,·,Software"
backend,1,Backend Developer,brmja tech -,"Faisal,",,,"·,Laravel,·,PHP,·,Mysql Database,·,Computer Programs,·,Computer Science,·,Information Technology (IT),·,Microsoft Programs,·,SQL"
backend,1,Back-end Team Lead,E-Jawdah -,"Nasr City,",,,"·,PHP,·,RESTful APIs.,·,Git,·,HTML,·,JavaScript,·,CSS,·,Ruby"
backend,1,Backend Developer (Laravel - Developing APIs),Ship To Box -,"Sheikh Zayed,",9 days,,"·,Laravel,·,Laravel Framework,·,Laravel PHP,·,Node.js,·,MySQL,·,NodeJS,·,MVC"
backend,1,Mid - Senior Backend Developer (Node.js),TXG  -,"Cairo,",,,"·,Git,·,TypeScript,·,API,·,PostgreSQL,·,Github,·,CI/CD,·,Node.js,·,Fastify,·,REST"
backend,1,Senior Back-End,E-Jawdah -,"Nasr City,",12 days,,"·,PHP,·,Git,·,HTML,·,RESTful APIs."
backend,1,Senior Backend Developer,ISTQSERVERS  -,"Maadi,",,,"·,PHP,·,Node.js,·,Linux,·,MySQL"
backend,1,Back-end Developer (PHP),Vijua -,"6th of October,",,,"·,PHP,·,Software Development,·,Git,·,Computer Science,·,Computer Engineering,·,OOP,·,MySQL,·,JavaScript"
backend,1,Asp.Net Core / Dot Net Back-end Developer - Internship,Alexandria For Programming -,"Bolkly,",,,"·,.Net,·,ASP,·,ASP.Net,·,Computer Science,·,C#,·,API,·,Database Design,·,Database,·,Information Technology (IT)"
backend,1,Software Developer .NET (Backoffice / Backend),CompactSoft International  -,"Nasr City,",13 days,,"·,ASP.Net,·,Computer Engineering,·,Engineering,·,.Net,·,Information Technology (IT),·,Software Development,·,SQL,·,Web Development"
backend,1,Backend Developer,"Telecom Systems Provider, LLC -","Maadi,",12 days,,"·,CI/CD,·,Android,·,Computer Science,·,Software Engineering,·,Software,·,iOS,·,REST,·,Development,·,Information Technology (IT)"
frontend,1,Senior Front-End Developer (Angular ),Aria Systems -,"Maadi,",,,"·,Information Technology (IT),·,Telecommunication,·,Computer Science,·,.NET,·,.NET Development,·,Angular,·,CSS,·,HTML5"
frontend,1,Senior Front-End Angular Developer,Ultimate Solutions Egypt -,"Victoria,",,,"·,Angular,·,APIs,·,Computer Science,·,CSS3,·,Design,·,Git"
frontend,1,Frontend Developer (React js) - Full Time On-site,Confidential -,"Sidi Bishr,",,,"·,React,·,Information Technology (IT),·,JavaScript,·,Typescript"
frontend,1,Frontend Team Lead,Confidential -,"Smouha,",9 days,,"·,Agile Scrum,·,Angular,·,Communication skills,·,JavaScript,·,UI/UX design,·,DevOps,·,Dockerm Kubernetes"
frontend,1,"Front-End Developer (Blazor, React, Vue, Angular)",Smartly -,"Nasr City,",11 days,,"·,Blazor,·,React,·,Vue.js"
frontend,1,Senior Frontend Developer (React),TXG  -,"Cairo,",,,"·,Git,·,React,·,TypeScript,·,RESTful APIs,·,HTML5,·,CSS3,·,Code,·,Computer Science"
frontend,1,Frontend Engineer,Devency   -,"New Nozha,",19 days,,"·,Software Development,·,Engineering,·,React,·,React.js,·,UI,·,Typescript,·,Agile"
frontend,1,Frontend Engineer,SellAbroad -,"New Cairo,",23 days,,"·,Agile,·,JavaScript,·,React,·,typescript,·,tailwind"
frontend,1,Senior Frontend Developer- Angular,Egabi FSI -,"Sheraton,",28 days,,"·,Computer Science,·,Information Technology (IT),·,javaScript,·,CSS,·,CSS3,·,Software Development,·,Angular2+,·,Angular"
frontend,1,Frontend Developer - Fully Remote Job,Osus Group  -,"Cairo,",1 month,,"·,CSS3,·,Computer Science,·,Software Development,·,Software Engineering,·,HTML5,·,Information Technology (IT),·,JavaScript"
frontend,1,Frontend Developer,InaWaks -,"Cairo,",1 month,,"·,React,·,JavaScript,·,Information Technology (IT),·,HTML,·,CSS,·,Web Development,·,Software Development"
frontend,1,Full-Stack Developer (Front-End & Back-End),MIBA LLC -,"10th of Ramadan City,",1 month,,"·,c++,·,CSS,·,HTML,·,MongoDB,·,Python,·,Node.js,·,JavaScript"
frontend,1,Senior Frontend Developer,النورس للتجاره  -,"New Nozha,",1 month,,"·,Angular,·,Computer Science,·,Design,·,Git,·,CSS,·,HTML,·,Information Technology (IT),·,JavaScript,·,React"
frontend,1,Senior Front-End Developer,Dash Code -,"Cairo,",1 month,,"·,CSS,·,HTML,·,Git,·,Information Technology (IT),·,Sass,·,JavaScript,·,Web Development,·,back-end"
frontend,1,Senior Front-End Developer,Bnaia -,"Maadi,",1 month,,"·,API,·,Computer Science,·,CSS,·,CSS3,·,Git,·,HTML"
Data scientist,1,Data Scientist,HYVE Technology Consulting  -,"Cairo,",10 days,,"·,Computer Science,·,Engineering,·,Hadoop,·,Information Technology (IT),·,Java,·,Python"
Data scientist,1,Senior Data Scientist / Data Scientist – Data & AI Practice,BrickRed Technologies -,"Cairo,",2 months,,
Data scientist,1,Senior Data Scientist,DOT Information Technology -,"New Cairo,",2 months,,"·,Machine Learning,·,Information Technology (IT),·,Programming,·,NLP"
Data scientist,1,Data Engineer,HYVE Technology Consulting  -,"Cairo,",10 days,,"·,Computer Engineering,·,Computer Science,·,Engineering,·,Ibm,·,Information Technology (IT)"
Data scientist,1,Senior Power BI Developer,BI-Technologies -,"New Cairo,",2 months,,"·,Computer Science,·,Power BI,·,SSRS,·,BI,·,SQL,·,Microsoft Power BI,·,Engineering"
Data scientist,1,Manager - Data Analytics,Alshaya -,"Cairo,",1 month,,"·,Business Analysis,·,Reporting,·,Analysis"
Data scientist,1,Sr. Data Engineer,BrickRed Technologies -,"Cairo,",2 months,,"·,cloudera,·,Computer Science,·,Banking,·,SQL,·,Information Technology (IT),·,Engineering"
Data scientist,1,Data Analyst,Confidential -,"New Cairo,",2 months,,"·,Computer Science,·,Engineering,·,Information Technology (IT)"
Data scientist,1,Full Stack Developer,CodeCooks -,"New Cairo,",,,"·,Full Stack Developer,·,Information Technology (IT),·,Computer Science,·,Software Development,·,Full Stack"
Data scientist,1,Python Backend Developer – AI & Chatbots,OTIC -,"New Cairo,",2 months,,"·,Python Backend Developer,·,Database,·,Computer Science,·,Azure,·,APIs,·,Software Development,·,Oracle,·,Python,·,Django"
Data scientist,1,Full Stack Developer,Cherwell Associates -,"Zamalek,",2 months,,"·,Full Stack,·,JavaScript,·,HTML,·,React,·,Software Development,·,MySQL,·,Angular,·,Computer Science"
Data scientist,1,Full Stack Developer,TheFedexperience -,"New Cairo,",2 months,,"·,Full Stack,·,CSS,·,HTML,·,Information Technology (IT),·,React,·,MySQL,·,Java,·,JavaScript"
Data scientist,1,Senior Full Stack ASP.NET Developer,Al Attiya Computer and Technology  -,"Hadayek Alkobba,",2 months,,"·,.Net,·,ASP.Net,·,Development,·,Software Development,·,SQL,·,JavaScript,·,jQuery,·,Entity Framework"
Data scientist,1,Senior Full Stack Developer,iucon Egypt -,"Dokki,",2 months,,"·,ASP.Net,·,.Net,·,English,·,Information Technology (IT),·,Oracle,·,JavaScript,·,SQL,·,Software Development"
Data scientist,1,Senior Full Stack Developer,Biddex  -,"Heliopolis,",2 months,,"·,Information Technology (IT),·,Agile,·,Software Development,·,React,·,Computer Science,·,CSS,·,HTML,·,JavaScript"
Data engineer,1,Data Engineer,HYVE Technology Consulting  -,"Cairo,",10 days,,"·,Computer Science,·,Ibm,·,Information Technology (IT)"
Data engineer,1,Data Engineer,COB Solution  -,"Maadi,",1 month,,"·,Computer Science,·,Development,·,Python"
Data engineer,1,Data Scientist,HYVE Technology Consulting  -,"Cairo,",10 days,,"·,Computer Science,·,Hadoop,·,Information Technology (IT),·,Java,·,Python"
Data engineer,1,Data Analyst Manager,WUZZUF -,"Maadi,",11 days,,"·,Analysis,·,business,·,Computer Science,·,Microsoft Excel"
Data engineer,1,IT OS & Data Base Expert,Wadi Group -,"Sheikh Zayed,",,,"·,Computer Science,·,DBMS,·,Information Technology (IT),·,Linux,·,Oracle,·,SOA,·,Software Development"
Data engineer,1,Sales Engineer,UNI Power -,"6th of October,",,,"·,Ups,·,solar,·,Electrical,·,Solar Energy"
Data engineer,1,Tech Lead Data Engineering,HYVE Technology Consulting  -,"Nasr City,",1 month,,"·,ETL,·,Hadoop,·,Python,·,SQL"
Data engineer,1,Sr. Data Engineer,BrickRed Technologies -,"Cairo,",2 months,,"·,cloudera,·,Computer Science,·,Banking,·,SQL,·,Information Technology (IT)"
Data engineer,1,AI Engineer,Quantanite -,"Maadi,",,,"·,AI,·,Algorithms,·,Computer Science,·,Information Technology (IT),·,Python,·,Software"
Data engineer,1,Python Team Lead - AI & Python Engineering,Softec Technologies -,"Cairo,",11 days,,"·,API,·,AWS,·,Communication skills,·,Computer Science,·,Development,·,Docker"
Data engineer,1,VOIP & Linux Systems Engineer,SANA SOFT -,"Cairo,",,,"·,Apache,·,CentOS,·,Communication,·,Computer Science,·,DNS,·,Information Technology (IT),·,Linux,·,MySQL"
Data engineer,1,Value Engineer,Confidential -,"Riyadh,",,,"·,Project Management,·,Cost Control,·,Primavera,·,Software,·,Construction"
Data engineer,1,"BI analyst ""Data warehouse""",Efada Technology -,"6th of October,",9 days,,"·,BI,·,Computer Science,·,Information Technology (IT),·,Oracle,·,SQL,·,PLSql"
Data engineer,1,Data Entry,engineering tracks -,"Nasr City,",,,"·,Microsoft Office,·,Administration,·,Customer Service,·,Communication,·,computer,·,English"
Data engineer,1,Firefighting & Mechanical Systems Technical Office Engineer,Confidential -,"Shorouk City,",,,"·,Firefighting,·,AutoCAD,·,Communication skills,·,Design,·,English"
Machine learning,1,AI Engineer,Quantanite -,"Maadi,",,,"·,AI,·,Algorithms,·,Computer Science,·,Information Technology (IT),·,Engineering,·,Python,·,Software"
Machine learning,1,AI Solutions Architect,Get AI Driven -,"Cairo,",,,"·,AI,·,Architecture,·,Computer Engineering,·,APIs,·,Computer Science,·,DevOps,·,Engineering,·,English,·,JavaScript"
Machine learning,1,AI & Software Trainer,compsoft -,"Giza,",13 days,,"·,Computer Science,·,Information Technology (IT),·,Software,·,Software trainer,·,AI,·,Software Engineering,·,Big Data"
Machine learning,1,IT and AI Specialiat,Green Foods -,"Cairo,",1 month,,"·,AI,·,computer,·,Computer Science,·,Information Technology (IT)"
